compliance,grayness,iteration,outer_iters,outer_solver,rho_max,rho_mean,rho_min,wall_s
108.99929971279667,0.8081911582739295,1,21,pcg,0.4,0.3000000021195356,0.19999999999999998,71.89318260000437
56.563188770662165,0.7693479973072508,2,22,pcg,0.5,0.29999999916413916,0.09999999999999998,0.18728770001325756
37.15764218908371,0.7215250383903862,3,55,pcg,0.6,0.3000000021402594,0.001,0.3723961999930907
26.40530503415667,0.6627036464329907,4,81,pcg,0.7,0.3000000012592635,0.001,0.5146558999840636
19.777990662196633,0.5979310683847366,5,115,pcg,0.7999999999999999,0.2999999975218734,0.001,0.6747850999818183
15.256818734509885,0.5255974316707237,6,187,pcg,0.8999999999999999,0.29999999308650327,0.001,1.043705099989893
11.887318693046844,0.43855613854486875,7,428,pcg,0.9999999999999999,0.3000000002784757,0.001,2.434901800006628
9.093818155556066,0.3838091847885702,8,579,pcg,1.0,0.30000000016746625,0.001,3.257554599986179
7.741979075364277,0.31512667326237365,9,398,pcg,1.0,0.30000000555441225,0.001,2.2360575000056997
6.9134828646866575,0.2467125752351799,10,800,pcg,1.0,0.30000000342355937,0.001,8.722131999995327
6.391443902831805,0.18946733738439278,11,800,pcg,1.0,0.2999999989581863,0.001,8.950674099993194
6.038221711277193,0.1425626182451432,12,800,pcg,1.0,0.2999999949008779,0.001,8.79141289999825
